stock_a,stock_b,correlation
ABBV,AAPL,0.21720489818756022
ABT,AAPL,0.3728650292257019
ACN,AAPL,0.5137274572094882
ADBE,AAPL,0.5926493012880999
AIG,AAPL,0.2733655800184404
AMD,AAPL,0.5114622881484008
AMGN,AAPL,0.3030238521167688
AMT,AAPL,0.34288992568958526
AMZN,AAPL,0.6029395652099862
AVGO,AAPL,0.5568607486389292
AXP,AAPL,0.37736981649136336
BA,AAPL,0.338469300395147
BAC,AAPL,0.3017390197874306
BK,AAPL,0.29925593001304424
BKNG,AAPL,0.38796385737540556
BLK,AAPL,0.4862264474079509
BMY,AAPL,0.19622933569251674
BRK-B,AAPL,0.41345227548731983
C,AAPL,0.31281467838439386
CAT,AAPL,0.29284474958633155
CHTR,AAPL,0.31290550497074354
CL,AAPL,0.2481430954118472
CMCSA,AAPL,0.3764518046613601
COF,AAPL,0.31827215939047115
COP,AAPL,0.193161222345396
COST,AAPL,0.4923227883426426
CRM,AAPL,0.5187900026417488
CSCO,AAPL,0.4848037232066486
CVS,AAPL,0.21255849605194166
CVX,AAPL,0.2261533724205387
DE,AAPL,0.29619605603867566
DHR,AAPL,0.4224348607448589
DIS,AAPL,0.39171404945385885
DOW,AAPL,0.29338162548207963
DUK,AAPL,0.2158034584937498
EMR,AAPL,0.3699137431935129
F,AAPL,0.311772923376304
FDX,AAPL,0.37391668301218145
GD,AAPL,0.29710456820701303
GE,AAPL,0.2996312269125807
GILD,AAPL,0.23737674943377943
GM,AAPL,0.31039421345462126
GOOGL,AAPL,0.6202805315272991
GS,AAPL,0.3629808657550025
HD,AAPL,0.43597195527769594
HON,AAPL,0.3832229350189594
IBM,AAPL,0.32567985171681474
INTC,AAPL,0.47003528958618884
INTU,AAPL,0.583533241889785
JNJ,AAPL,0.26451662739187987
JPM,AAPL,0.31902081053671394
KHC,AAPL,0.20096361525643924
KO,AAPL,0.3283006192348679
LIN,AAPL,0.4297901204820182
LLY,AAPL,0.27326098593199266
LMT,AAPL,0.2124897239544778
LOW,AAPL,0.4182974838623458
MA,AAPL,0.4934456345289303
MCD,AAPL,0.3625293137844292
MDLZ,AAPL,0.3376801571940687
MDT,AAPL,0.34136526337960266
MET,AAPL,0.301702431806002
META,AAPL,0.5489385449610629
MMM,AAPL,0.32313610366163253
MO,AAPL,0.22153723216623084
MRK,AAPL,0.20039806223080894
MS,AAPL,0.374394501935497
MSFT,AAPL,0.6841052465732796
