stock_a,stock_b,weight
AAPL,MSFT,0.31627603970954343
AAPL,TSLA,0.5397262666954017
ABBV,BMY,0.5247050067698777
ABT,TMO,0.41383385927578575
ABT,MDT,0.47093970917919525
ACN,INTU,0.3788777848089405
ACN,BLK,0.40587366295317684
ACN,LIN,0.42562908211228545
ACN,CSCO,0.4295295760489998
ADBE,MSFT,0.28758117191186217
ADBE,INTU,0.30034762912695356
ADBE,CRM,0.3282394481162684
AIG,MET,0.22233016848587328
AMD,NVDA,0.27975566939056573
AMGN,JNJ,0.5036435598706811
AMGN,GILD,0.5117627555234432
AMT,NEE,0.48161419984227605
AMZN,MSFT,0.31874445427314246
AMZN,NFLX,0.4303713805068542
AVGO,TXN,0.31089579241006804
AVGO,NVDA,0.3381297440916715
AXP,COF,0.23687839693460833
AXP,MA,0.4142328327138357
AXP,DIS,0.43849484550025875
AXP,BKNG,0.4478798668514362
BA,GE,0.4721973452066045
BAC,JPM,0.15569488347837057
BAC,C,0.175615989962
BAC,WFC,0.1866874741398591
BAC,USB,0.20961306550273762
BAC,MET,0.2325024155422345
BAC,BK,0.23824072783988692
BAC,GS,0.23908366437142337
BAC,COF,0.2515913370328281
BAC,SCHW,0.31991496109100237
BLK,MS,0.3507749961527935
BLK,HD,0.45113859401884004
BMY,JNJ,0.5276457685407063
BRK-B,JPM,0.30192902219452344
BRK-B,HON,0.37432954741953806
BRK-B,UNP,0.4130836087236156
BRK-B,GD,0.41631580800521206
BRK-B,KO,0.4596461883716014
BRK-B,MDT,0.47695013529539254
BRK-B,T,0.5240988045341456
BRK-B,CVS,0.5344126983537028
CAT,EMR,0.3043292683586455
CAT,DE,0.3103773467141615
CAT,DOW,0.33438188288360104
CAT,CVX,0.43120191370649674
CHTR,CMCSA,0.390700463937506
CL,PG,0.27141391621207767
CMCSA,DIS,0.4960828186592646
COF,SPG,0.42258830735366426
COP,CVX,0.1826298636895144
COST,WMT,0.44487450455375877
COST,MSFT,0.4734510418541289
CVS,UNH,0.4945002915987443
CVX,XOM,0.14725429874730545
DHR,TMO,0.21962277279841647
DUK,SO,0.20324569507100543
DUK,KO,0.4438389000644827
EMR,HON,0.35025059643172474
EMR,GE,0.4395578204487678
F,GM,0.21999848034832348
FDX,UPS,0.37015380823859223
GD,RTX,0.3386783265607024
GD,LMT,0.37067696709253506
GM,GS,0.40504335073887376
GOOGL,MSFT,0.28173813063701847
GOOGL,META,0.35097587416158915
GS,MS,0.1749263212886908
HD,LOW,0.17032859739867456
HD,TGT,0.4796598644671225
HON,MMM,0.398871545262241
IBM,MET,0.46502248198106166
INTC,TXN,0.36066612543608745
INTU,PYPL,0.4230608963851116
JNJ,PG,0.4975194884885047
JNJ,MRK,0.5097072864403023
JNJ,PFE,0.5207664942342909
KHC,MDLZ,0.4319132881491955
KO,PEP,0.31424298228341707
KO,PM,0.4564770667504855
KO,MCD,0.4584819949746066
LLY,MRK,0.5934546176374143
MA,V,0.14166601663832978
MA,SBUX,0.4772158617106602
MDLZ,PEP,0.30337938809998843
MO,PM,0.3840038824247023
MSFT,NVDA,0.36061391271312526
MSFT,ORCL,0.47311331075226914
NEE,SO,0.352184101198056
NKE,SBUX,0.43936452110371516
PEP,PG,0.35394183482235797
QCOM,TXN,0.27150796633121266
T,VZ,0.33715045241232033
TMUS,V,0.5800041383112758
UNP,UPS,0.49075607879578276
